Date,Tweets,Preprocessing
2020-06-21 19:37:37,"Rajin itu menu buat orang yang SUKSES, bukan hanya bisa terus mengeluh di dalam hidupnya",rajin itu menu buat orang yang sukses bukan hanya bisa terus mengeluh di dalam hidupnya
2020-06-21 19:37:37,Wkwkwk galama ini akun jadi tempat simpenan foto2 nya yizhan aja lah,wkwkwk galama ini akun jadi tempat simpenan foto2 nya yizhan aja lah
2020-06-21 19:37:37,Iya nad gempa https://t.co/hnIfvBKMl5,iya nad gempa 
2020-06-21 19:37:37,@urlovelycunt Mau bangettt, mau bangettt
2020-06-21 19:37:37,"R E C O M M E N D E D 👈👈
RR VIA DM SAY
✔ OPEN BO BUAT YG DI PONTIANAK 
🔅AVAIL PONTIANAK
🔅INCLUDE ROOM
🔅WA🏧 Wa 083140949893 
🔅#Real🏩💯 
#BOpontianak
#bokalbar
#bopontianak
#expopontianak
#availpontianak
#openbopontianak 
#vcsbugil
#openvcs https://t.co/IqmYPzUudP",r e c o m m e n d e d rr via dm say open bo buat yg di pontianak avail pontianak include room wa wa 083140949893 real bopontianak bokalbar bopontianak expopontianak availpontianak openbopontianak vcsbugil openvcs 
2020-06-21 19:37:37,@nashwanzr Ih maaf aku gtw:(, ih maaf aku gtw 
2020-06-21 19:37:37,RT @sashacastells: ultimamen masta anan tot massa be, ultimamen masta anan tot massa be
2020-06-21 19:37:37,Ku Klux Klan https://t.co/Dc6xaGLvEK,ku klux klan 
2020-06-21 19:37:37,Gempa dimana?,gempa dimana 
2020-06-21 19:37:37,"@tenthofjun Ya Allah dimana din, stay safe", ya allah dimana din stay safe
2020-06-21 19:37:37,@pecintaindomii Lama bil, lama bil
2020-06-21 19:37:37,Jogja gempa 02.34 WIB,jogja gempa 02 34 wib
2020-06-21 19:37:37,TIDAK. JANGAN INI LAGI. (੭ु //□// )੭ु⁾⁾ https://t.co/LMqnANJ1JR,tidak jangan ini lagi 
2020-06-21 19:37:37,"@blackxsvgar Kok orang orang pada gempa, di ak ngga", kok orang orang pada gempa di ak ngga
2020-06-21 19:37:37,Yaa Allah sampe gemeter banget 😭😭😭😭😭,yaa allah sampe gemeter banget 
2020-06-21 19:37:37,Upa Daniela 🥵 https://t.co/Ac35C2KKez,upa daniela 
2020-06-21 19:37:37,masih menunggu info BMKG,masih menunggu info bmkg
2020-06-21 19:37:37,"Ala chudakandi @kalyanipriyan garu

Naku siggu vesthundi 😌

Good night all https://t.co/nAWJxwT7WZ",ala chudakandi garu naku siggu vesthundi good night all 
2020-06-21 19:37:37,"@aprlmm loh, surabaya juga??", loh surabaya juga 
2020-06-21 19:37:37,Gempa....,gempa 
2020-06-21 19:37:37,Nangis kenceng banget gempa mana lama lagi :(,nangis kenceng banget gempa mana lama lagi 
2020-06-21 19:37:37,RT @SantaToby69: pp hi it me gabby😼😼😼,69 pp hi it me gabby 
2020-06-21 19:37:37,Mak greg lindu,mak greg lindu
2020-06-21 19:37:37,"RT @kevinchoc: Ini salah satu story pas ke NZ. Ada di IG gue sisanya, cek bagian highlight story dengan hashtag #StudyInNZ 🇳🇿 https://t.co/…", ini salah satu story pas ke nz ada di ig gue sisanya cek bagian highlight story dengan hashtag studyinnz 
2020-06-21 19:37:37,Baru tidur setengah jam udah dibangunin,baru tidur setengah jam udah dibangunin
2020-06-21 19:37:37,@ANFaiz_ Anda bisa menemukan tweet ini dari mana yaaaaa?????????, anda bisa menemukan tweet ini dari mana yaaaaa 
2020-06-21 19:37:37,@NOJAEM77 anjeot serem otw otw bobo zizi,77 anjeot serem otw otw bobo zizi
2020-06-21 19:37:36,"RT @Langensari28: Selamat ulang tahun DKI Jakarta yang ke 493, Jayaraya!",28 selamat ulang tahun dki jakarta yang ke 493 jayaraya 
2020-06-21 19:37:36,@mrkleeon AJG NGAKAKK BELETOT, ajg ngakakk beletot
2020-06-21 19:37:36,@KancutMeleduk meng jalannya meleng 🥺🥺🥺 wkwkwkwk, meng jalannya meleng wkwkwkwk
2020-06-21 19:37:36,@Shybeauty007 Han g,007 han g
2020-06-21 19:37:36,Tutup lubang gali sumur terosss,tutup lubang gali sumur terosss
2020-06-21 19:37:36,"@coretanadan Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/nnxbxF9uZm", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:36,"@Ted54186826 @HandsomeHandson @OhitsNuNu_ @georgyporgy111 😂😂😂😂😂😂😂😂 munthu wazazi lowesa  yekha  pa nkani ya achewa  akuti tizi yankhula  chizungu. 
Oh my God.",54186826 111 munthu wazazi lowesa yekha pa nkani ya achewa akuti tizi yankhula chizungu oh my god 
2020-06-21 19:37:36,@jemappelleani Kenceng bett gempanyaaaa, kenceng bett gempanyaaaa
2020-06-21 19:37:36,"Ini gempanya gedhe banget gak sih:"") jantung mau copot astaga.",ini gempanya gedhe banget gak sih jantung mau copot astaga 
2020-06-21 19:37:36,@ToastieDesigns @TeamSynergy @ObiJai asdwasd, asdwasd
2020-06-21 19:37:36,@gloriatufelita iyaa kenceng bgt, iyaa kenceng bgt
2020-06-21 19:37:36,"RT @fromishour: jang gyuri 
———
#장규리 of #프로미스나인 https://t.co/jMhMyC0g3W", jang gyuri of 
