Date,Tweets
2020-06-21 19:37:36,RT @JogjaUpdate: gempa
2020-06-21 19:37:36,"@infoBMKG Min solo gempa, kerasa banget di lantai 4 :("
2020-06-21 19:37:36,gempa opo to iki
2020-06-21 19:37:36,HUEEEE PARAH HABIS MATI LAMPU TERUS GEMPA NANGIS
2020-06-21 19:37:36,"@ShabirunN @LFC_ID @budysetiawan08 Thanks gan, linknya bekerja 🙏"
2020-06-21 19:37:36,@Oraibtz Hakuna mtanzania asiyejua kuwa hata 2015 @ccm_tanzania walishindwa. Mkapa akaingilia kwa nguvu Sanaa na kulazimisha. Hivi TZ tumeshajiuliza kwa nini @MagufuliJP anateua wanajeshi au police? Anajua hapendwi kinga yake kubwa iko JWTZ na @tanpol. Nje ya hapo hawapati hata wabunge 20
2020-06-21 19:37:36,@chateaumeh purwokerto a
2020-06-21 19:37:36,#informasiunik #ntb &gt; Kebanyakan debu rumah tangga yang terbuat dari sel-sel kulit mati.
2020-06-21 19:37:36,Gempa lumayan banter
2020-06-21 19:37:36,@mauteajus1 di jogja ini tp belum tau asalnya dari mana
2020-06-21 19:37:36,Kerasa gempa ngga
2020-06-21 19:37:36,@fanimoodygirl pusatnya dimana?
2020-06-21 19:37:36,Kasi ya Uchaguzi https://t.co/l7uc75DOqH
2020-06-21 19:37:36,RT @squidwardmnfs: /sqw/ mutualan? RT aja
2020-06-21 19:37:36,@masyitori anakmu sukses yak pak
2020-06-21 19:37:36,@etovante Samaaa
2020-06-21 19:37:36,"@urfavbrian @KangBryans Jawab ato kita mutilasi,,"
2020-06-21 19:37:36,I thought it was the basics of any kind of relationship ato guenya aja yg terlalu baik sm pasangan? 😂 https://t.co/PnlH0P2Lka
2020-06-21 19:37:36,"RT @Tanya_offl: KOLUTHUNGADA 🤩 @actorvijay
The King of Kollywood 
#HBDTHALAPATHYVijay https://t.co/H30s3HssX4"
2020-06-21 19:37:36,"Prioritas tiap pasangan emang beda..
Tapi goals kami gak pingin punya hutang terlalu lama dan membentuk sandwich generation berikutnya.

Doain semoga kami selalu on track yaaa 🙏🙏"
2020-06-21 19:37:36,GEMPA DIMANA
2020-06-21 19:37:36,@skhuw @AsandaBhenya Lol sengath vele banemali
2020-06-21 19:37:36,Yg dom jogja kerasa goyang2 gk td?
2020-06-21 19:37:36,Jogja gempa lure
2020-06-21 19:37:36,@ChunghaBrazil @CHUNGHA_MNHent Apaga?
2020-06-21 19:37:36,"@utaminita51 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/usAH2RrDCJ"
2020-06-21 19:37:36,:] so sad  aku tidur pulas sampe bangun kaget #gempajogja
2020-06-21 19:37:36,Ada yg lagi tidur?
2020-06-21 19:37:36,2137 btw kckckc 💖😁 https://t.co/oazgs2vck6
2020-06-21 19:37:36,Yoh baphila ithibang thibang kulendlu ☹️
