Date,Tweets
2020-06-21 07:19:16,Sun Jun 21 2020 05:37:00 UTC: AAAAAA-C653Y7-YAPUBC-F7H62N-4EQ3TK-4KS7GP-FDBCQK-2562KV-4CUXJN-HLTDIE-Q2IPBU-U7QEF6
2020-06-21 07:19:16,Sun Jun 21 2020 05:35:00 UTC: AAAAAA-C653YY-IAOZ5I-TESWOU-QODD5C-BCNLVH-ZYU2JP-NJBFYX-JU2BAC-GE3BOP-KDP24A-CAJF6L
2020-06-21 07:19:15,Sun Jun 21 2020 05:34:00 UTC: AAAAAA-C653YU-QANBGP-U3PBHN-7SIF2U-D2HP4G-F5IHHM-CVCR5Q-H22XDA-AYAJS7-HVK2QE-SHXRZW
2020-06-21 07:19:15,Sun Jun 21 2020 05:32:00 UTC: AAAAAA-C653YN-AAKBPN-PR5OG7-WLHN4H-VUX3MH-CTKRZ3-WYNRDW-2FFTMF-2LHXNQ-3TEFNN-IGBVPW
2020-06-21 07:19:12,Sun Jun 21 2020 05:18:00 UTC: AAAAAA-C653WY-QAKQPX-RHTAYJ-H7W5KQ-IAKYKN-VZTKXD-GUQCP6-U3C2TR-ZYDZ6P-WKA4GD-CUGGFO
2020-06-21 07:19:12,"@pajamiesub makanya gua kasih poster kan, tulisannya 15.00 WIB."
2020-06-21 07:19:12,Sun Jun 21 2020 05:16:00 UTC: AAAAAA-C653WR-AALY5J-ZNIBC3-2SOI7E-VHPSSA-4PTGLW-FD6WIA-SQSPM3-ZUUJ6Q-3WTXEU-KBK47O
2020-06-21 07:19:12,Sun Jun 21 2020 05:15:00 UTC: AAAAAA-C653WN-IAJ4R4-AA3LUQ-I4KZED-UGEPZ5-5LGQ2R-NXO2AP-ECGZU2-HJOAJH-KOTTDE-UASHIK
2020-06-21 07:19:11,Sun Jun 21 2020 05:14:00 UTC: AAAAAA-C653WJ-QAOMA4-EHM73F-JKDPAM-CPDMNK-GIEELP-JHRWP6-IR4B2X-F7BV2D-JXSV2F-AB7OVD
2020-06-21 07:19:11,"RT @_abu_safa: Sore gais

merayakan akun odong2 gw yg baru naik level, kita GA lagi utk 2 orang masing2 pulsa 25k

seperti biasa, RT + foll…"
2020-06-21 07:19:11,Sun Jun 21 2020 05:11:00 UTC: AAAAAA-C653V6-IAPMH7-42JGH2-DUR5I6-STQ7ZX-KU7J2P-XGCJ5H-GXUG3C-TM4HL7-UKYRRT-PEGZSW
2020-06-21 07:19:11,Sun Jun 21 2020 05:10:00 UTC: AAAAAA-C653V2-QAIK6C-GZCK4F-VEEYJD-MMQ5P5-XCGVMB-JNUFMN-XXXSY5-IH3M2L-T5LKO6-DIO6EL
2020-06-21 07:19:11,Sun Jun 21 2020 05:09:00 UTC: AAAAAA-C653VW-YAPKS5-3R7FOG-BEAU3N-VY6ABY-Z4KBS3-26NVAO-TDKSAN-324PYD-KCCCCU-FZL3FE
2020-06-21 07:19:09,Sun Jun 21 2020 05:03:00 UTC: AAAAAA-C653VA-IAJHPW-KJDWVQ-3F5AP2-AJ6VPK-LGOI74-PYN2UT-3EOIVV-2ZMRON-KP6YQM-LANNMZ
2020-06-21 07:19:09,Sun Jun 21 2020 05:01:00 UTC: AAAAAA-C653UY-YAIUHV-ULIXAJ-DDRPHN-GRZQ2X-RZ4Q2T-2MTWXD-TUU2MJ-NSHGKN-HJ7SMW-SVUDQF
2020-06-21 07:19:08,Sun Jun 21 2020 04:58:00 UTC: AAAAAA-C653UN-QAINOY-F4S5XB-FIZCEN-TGGFJL-XHNRJY-CK2MSU-DTTSME-GR6CIR-VDHD3M-YIBJBB
2020-06-21 07:19:07,"[LIVE STREAM]

Hari ini NCT DREAM di KBS Open Concert

🕓 16:00 WIB (6 PM KST)

🔗https://t.co/ueQZeb87aV
🔗https://t.co/EYsI6tXTmJ

#박지성 #지성 #JISUNG #NCTDREAM https://t.co/esUZobEn7e"
2020-06-21 07:19:07,Sun Jun 21 2020 04:53:00 UTC: AAAAAA-C653T2-YALTBN-M2JWJH-JJ5PSR-FQKBYI-XGRLCW-TD73LO-L26KIO-62PZDT-NFDKRE-GKWYZT
2020-06-21 07:19:06,Sun Jun 21 2020 04:49:00 UTC: AAAAAA-C653TL-YAI7UZ-H4T3FN-MWBP4Q-ZFV34F-I7ZHJ3-JJYXEH-UV2BI2-73XC5P-QQMRCX-QCWC6E
2020-06-21 07:19:06,Sun Jun 21 2020 04:48:00 UTC: AAAAAA-C653TI-AAKDXT-H5IRKH-U2LAGC-5PU64C-PPUQJK-5PO3VE-CAYBD5-QXPYKQ-WGAKAA-SRWUJ5
2020-06-21 07:19:06,Sun Jun 21 2020 04:47:00 UTC: AAAAAA-C653TE-IAPIWE-T3SWA7-5R6E4Q-MNBV72-6TVYQQ-EWEYRP-MI6UJY-H6JG32-BAD3MW-6JFELM
2020-06-21 07:19:06,Sun Jun 21 2020 04:46:00 UTC: AAAAAA-C653TA-QAO5JR-J2UO6L-TR7GJL-SF7TGG-HFMUUY-KLR242-4Q5XBC-ENUJB5-MI37Z2-ZJHEK6
2020-06-21 07:19:05,Sun Jun 21 2020 04:45:00 UTC: AAAAAA-C653S4-YAOJW7-7AYLQC-4T4GHC-4FMQ6P-4SZN3E-56A6EE-DLPFNC-GF7OB5-ODABHA-KURIHM
2020-06-21 07:19:05,Sun Jun 21 2020 04:42:00 UTC: AAAAAA-C653SR-QAP3AU-QMHH54-6RYJ6H-R5ICRI-VB5CVH-3KTLHR-JDYNBY-TN5FOJ-UBVZJH-CGEQWW
2020-06-21 07:19:04,Sun Jun 21 2020 04:40:00 UTC: AAAAAA-C653SK-AAMRKD-53C7BL-HB5VA7-C5U34N-TP5YLQ-WLTJAB-T5ANXA-PPFGY5-AAXIIH-R3HOFA
2020-06-21 07:19:03,Sun Jun 21 2020 04:37:00 UTC: AAAAAA-C653R6-YAJZQC-7GQL4U-U7SCIL-QIQ6GH-FCKOVO-YRIZQF-LWHOTF-ELO52P-GU5KTA-JPZ6HR
2020-06-21 07:19:03,Sun Jun 21 2020 04:34:00 UTC: AAAAAA-C653RT-QAM476-WLOC4R-AH2RB5-4KVN2I-X7ADMG-MGMGSF-AN5Q5F-DSQ3ZK-PTCEMZ-DVBYW3
2020-06-21 07:19:02,Sun Jun 21 2020 04:33:00 UTC: AAAAAA-C653RP-YAODON-QDO4YJ-VME62C-R2NP2R-SFC6JK-HIZLVY-SIBAWA-XDDNSQ-GZXC6U-AHMCXW
2020-06-21 07:19:02,RT @armyfess_: [my] yang line 90-00 mutualan yuk. rt aja. avaku taehyung. fb ya! -titipan
2020-06-21 07:19:02,Sun Jun 21 2020 04:31:00 UTC: AAAAAA-C653RI-IAI3EX-IF7R5B-FABRHC-CURSO3-4YAVE5-XS42AN-4VWL3M-ANTLKU-M3GE4W-LHUEL2
2020-06-21 07:19:02,"agenda hr minggu, 10.00-12.00 workout, 13.00-15.00 Rapat Koordinasi, 15.30-17.30 Rapat Divisi, liburan kuliah diisi rapat2 trus gara2 konsepan tiba2 berubah online jd dirombak 😣"
2020-06-21 07:19:00,Sun Jun 21 2020 04:23:00 UTC: AAAAAA-C653QK-IALCBY-EG4IFM-4JAACH-TOUI2Q-WQSPOS-WJ725B-5JRFUH-FSGDYS-VUVHOS-2GBBUH
2020-06-21 07:19:00,Sun Jun 21 2020 04:20:00 UTC: AAAAAA-C653P7-AALE6Q-DI6RNZ-ZZPJST-E5XK7J-ZPJGG7-JC3WOQ-APKUKN-YHROGL-2KRD5N-2PHGKO
2020-06-21 07:19:00,Sun Jun 21 2020 04:19:00 UTC: AAAAAA-C653P3-IANVDY-RGET4J-TAKA4F-UCQVYG-EB3VWW-J54AMY-BCVJUO-CI3YL2-BKPXNL-JHSEFO
2020-06-21 07:18:59,Sun Jun 21 2020 04:17:00 UTC: AAAAAA-C653PT-YAMIXA-JRCTC2-VOPY3N-MRREAR-QPN7HJ-KTKQ6T-H5QRNW-Y2E7NI-AKLNAS-5UGJVL
2020-06-21 07:18:59,Sun Jun 21 2020 04:16:00 UTC: AAAAAA-C653PQ-AAPYG7-FCPUT3-E65EM2-MEC5OG-R7SWWD-RCSKUI-ILWNNS-RDPMPK-ELOCZ5-Q4DSE7
2020-06-21 07:18:59,Sun Jun 21 2020 04:13:00 UTC: AAAAAA-C653PE-YANBOS-MH2XS4-UPOH5Y-GI65FA-WIIAK4-M2KXNQ-WH7ZWH-OIWPJA-RDXCDO-OHZQ5G
2020-06-21 07:18:58,Sun Jun 21 2020 04:12:00 UTC: AAAAAA-C653PB-AAPZTV-MEHG6H-RILM6D-F5D2OT-TDDU6N-P5HQX6-TZNAGE-JHUHJU-UJUC3C-A7DJQM
2020-06-21 07:18:58,Sun Jun 21 2020 04:10:00 UTC: AAAAAA-C653OZ-QAON2P-RR5PIC-Y5G46I-VQ2WPS-P2PDOJ-Z6COBO-5EYVX7-IYCMQE-D263G6-SCMVOF
2020-06-21 07:18:57,Sun Jun 21 2020 04:06:00 UTC: AAAAAA-C653OK-QAIZO4-NDPLAN-6AW66A-23UZMW-G6NOYJ-MW7HQ7-EPZQO6-C5UTGG-R6H4ZD-EX3RIQ
2020-06-21 07:18:57,Sun Jun 21 2020 04:05:00 UTC: AAAAAA-C653OG-YAO2YL-4DA372-FTS4T2-E47A45-S6KBNY-UXNL7W-7VIT4C-UZR2LH-FWALAW-BVXY46
2020-06-21 07:18:56,Sun Jun 21 2020 04:02:00 UTC: AAAAAA-C653N3-QANTRH-YPU2KL-XIDUDJ-NANTIR-UYQFAX-MITUPQ-BGH3DH-N2HV3T-DZSB47-AND467
2020-06-21 07:18:56,Sun Jun 21 2020 03:59:00 UTC: AAAAAA-C653NQ-IAM726-SVZV6I-WCN2GJ-B45FI6-B2GJNJ-35OS4P-PBXUR7-KPRQFF-NAS6ZY-NVP25Y
2020-06-21 07:18:51,RT @Blood4LifeID: #BFL12_20062020 AR #BFL_GREEN #JakartaSelatan #DKIJakarta | A+ | 1 pendonor  | Tan Koei Hoa | RS Fatmawati | Donor di UTD…
